id,seniority,domain,years_experience,strong_skills,medium_skills,weak_skills,education,projects_count
res_35,Entry,Frontend,3,"['Tailwind CSS', 'Angular', 'Next.js', 'Vue.js']","['CSS3', 'HTML5', 'JavaScript']","['Leadership', 'Mentoring']",Bachelor,4
res_36,Senior,Full-Stack,7,"['React', 'Express', 'Angular', 'Node.js']",[],"['Project Management', 'Leadership']",Bachelor,6
res_37,Senior,DevOps,9,"['GCP', 'Docker', 'Kubernetes', 'Jenkins']","['AWS', 'Azure', 'GitHub Actions']","['Problem Solving', 'Communication']",Bootcamp,6
res_38,Senior,Data,8,"['PyTorch', 'NumPy', 'Kafka', 'Spark']","['TensorFlow', 'Pandas', 'Scikit-learn']","['Communication', 'Mentoring']",Master,4
res_39,Mid,Full-Stack,5,"['Angular', 'Express', 'React', 'Node.js']",[],"['Communication', 'Mentoring']",Master,2
res_40,Principal,Data,13,"['TensorFlow', 'Kafka', 'PyTorch', 'Spark']","['Scikit-learn', 'NumPy', 'Pandas']","['Project Management', 'Leadership']",Master,3
res_41,Senior,Frontend,10,"['Tailwind CSS', 'React', 'Python', 'JavaScript']","['Angular', 'CSS3', 'Svelte']","['Mentoring', 'Problem Solving']",Master,8
res_42,Senior,DevOps,8,"['GitHub Actions', 'Terraform', 'GCP', 'Docker']","['Azure', 'AWS', 'Jenkins']","['Mentoring', 'Problem Solving']",Bachelor,6
res_43,Entry,Full-Stack,3,"['React', 'Express', 'Angular', 'Node.js']",[],"['Mentoring', 'Problem Solving']",Master,8
res_44,Entry,Data,3,"['Pandas', 'Scikit-learn', 'Spark', 'NumPy']","['TensorFlow', 'PyTorch', 'Kafka']","['Communication', 'Project Management']",Bachelor,4
res_45,Entry,Backend,2,"['FastAPI', 'Rails', 'ASP.NET', 'Python']","['Express', 'Django', 'JavaScript']","['Project Management', 'Communication']",Master,7
res_46,Principal,Frontend,12,"['HTML5', 'Angular', 'JavaScript', 'Svelte']","['Tailwind CSS', 'Next.js', 'Python']","['Mentoring', 'Problem Solving']",Master,2
res_47,Senior,Data,7,"['NumPy', 'PyTorch', 'Kafka', 'Scikit-learn']","['Pandas', 'TensorFlow', 'Spark']","['Problem Solving', 'Leadership']",Bachelor,3
res_48,Senior,Data,7,"['TensorFlow', 'NumPy', 'PyTorch', 'Pandas']","['Scikit-learn', 'Kafka', 'Spark']","['Leadership', 'Communication']",Master,5
res_49,Mid,DevOps,3,"['Terraform', 'GCP', 'Docker', 'Jenkins']","['AWS', 'Kubernetes', 'Azure']","['Project Management', 'Problem Solving']",Bootcamp,6
res_50,Principal,Data,13,"['Kafka', 'PyTorch', 'Scikit-learn', 'Pandas']","['NumPy', 'TensorFlow', 'Spark']","['Mentoring', 'Leadership']",Bachelor,7
res_51,Mid,DevOps,6,"['Kubernetes', 'Jenkins', 'GCP', 'AWS']","['GitHub Actions', 'Azure', 'Terraform']","['Problem Solving', 'Project Management']",Bootcamp,4
res_52,Senior,Frontend,7,"['HTML5', 'CSS3', 'JavaScript', 'Python']","['React', 'Tailwind CSS', 'Next.js']","['Communication', 'Leadership']",Master,4
res_53,Entry,Full-Stack,3,"['React', 'Express', 'Node.js', 'Angular']",[],"['Mentoring', 'Problem Solving']",Master,2
res_54,Mid,Backend,3,"['ASP.NET', 'TypeScript', 'Django', 'Rails']","['JavaScript', 'Node.js', 'Spring Boot']","['Mentoring', 'Problem Solving']",Bootcamp,5
res_55,Entry,Backend,0,"['JavaScript', 'Django', 'Rails', 'TypeScript']","['Flask', 'FastAPI', 'Python']","['Mentoring', 'Leadership']",Bootcamp,8
res_56,Principal,Data,14,"['Pandas', 'TensorFlow', 'Spark', 'NumPy']","['PyTorch', 'Kafka', 'Scikit-learn']","['Leadership', 'Mentoring']",Bachelor,2
res_57,Mid,Data,5,"['NumPy', 'Scikit-learn', 'Spark', 'TensorFlow']","['Pandas', 'Kafka', 'PyTorch']","['Project Management', 'Problem Solving']",Bootcamp,5
res_58,Senior,Data,8,"['TensorFlow', 'PyTorch', 'NumPy', 'Kafka']","['Scikit-learn', 'Pandas', 'Spark']","['Communication', 'Leadership']",Bootcamp,5
res_59,Entry,DevOps,1,"['Docker', 'Kubernetes', 'GitHub Actions', 'Terraform']","['Azure', 'AWS', 'Jenkins']","['Problem Solving', 'Communication']",Bootcamp,3
res_60,Mid,Backend,4,"['TypeScript', 'FastAPI', 'Node.js', 'Express']","['Django', 'Flask', 'JavaScript']","['Mentoring', 'Problem Solving']",Master,5
res_61,Principal,Backend,13,"['TypeScript', 'Python', 'Express', 'JavaScript']","['FastAPI', 'ASP.NET', 'Spring Boot']","['Mentoring', 'Communication']",Bootcamp,4
res_62,Mid,Frontend,6,"['Svelte', 'Tailwind CSS', 'React', 'Vue.js']","['Python', 'Angular', 'HTML5']","['Communication', 'Project Management']",Bootcamp,6
res_63,Senior,Backend,7,"['FastAPI', 'Django', 'Python', 'Rails']","['Spring Boot', 'Flask', 'Node.js']","['Mentoring', 'Leadership']",Master,4
res_64,Mid,Full-Stack,5,"['Node.js', 'Angular', 'React', 'Express']",[],"['Communication', 'Project Management']",Bachelor,6
res_65,Mid,Frontend,3,"['React', 'Next.js', 'HTML5', 'Angular']","['Vue.js', 'Svelte', 'Tailwind CSS']","['Mentoring', 'Problem Solving']",Bachelor,6
res_66,Principal,DevOps,14,"['GitHub Actions', 'Jenkins', 'GCP', 'Kubernetes']","['Azure', 'Docker', 'Terraform']","['Leadership', 'Problem Solving']",Bachelor,6
res_67,Principal,Backend,11,"['Flask', 'Express', 'Django', 'Spring Boot']","['Node.js', 'Rails', 'Python']","['Mentoring', 'Problem Solving']",Bachelor,4
res_68,Entry,Full-Stack,3,"['Angular', 'React', 'Node.js', 'Express']",[],"['Project Management', 'Mentoring']",Master,7
res_69,Principal,Backend,14,"['Express', 'Rails', 'Python', 'Django']","['Node.js', 'Flask', 'ASP.NET']","['Communication', 'Project Management']",Bootcamp,7
res_70,Entry,Data,2,"['PyTorch', 'TensorFlow', 'Pandas', 'Kafka']","['NumPy', 'Spark', 'Scikit-learn']","['Leadership', 'Mentoring']",Master,8
res_71,Mid,Data,3,"['Kafka', 'Pandas', 'Spark', 'Scikit-learn']","['PyTorch', 'NumPy', 'TensorFlow']","['Communication', 'Mentoring']",Bachelor,8
res_72,Mid,Full-Stack,3,"['React', 'Express', 'Node.js', 'Angular']",[],"['Problem Solving', 'Project Management']",Master,2
res_73,Mid,Backend,6,"['Flask', 'Python', 'JavaScript', 'TypeScript']","['ASP.NET', 'FastAPI', 'Rails']","['Project Management', 'Problem Solving']",Bootcamp,8
res_74,Entry,Frontend,3,"['Angular', 'HTML5', 'Svelte', 'Vue.js']","['Python', 'Tailwind CSS', 'JavaScript']","['Mentoring', 'Project Management']",Bootcamp,3
res_75,Entry,Backend,1,"['Express', 'Python', 'Flask', 'JavaScript']","['Node.js', 'TypeScript', 'ASP.NET']","['Mentoring', 'Problem Solving']",Bootcamp,4
res_76,Entry,Full-Stack,1,"['Node.js', 'Angular', 'Express', 'React']",[],"['Problem Solving', 'Communication']",Bootcamp,7
res_77,Mid,Frontend,6,"['Angular', 'HTML5', 'React', 'CSS3']","['Python', 'Next.js', 'Vue.js']","['Project Management', 'Leadership']",Bootcamp,3
res_78,Mid,Frontend,3,"['Tailwind CSS', 'Vue.js', 'Python', 'React']","['CSS3', 'Svelte', 'Angular']","['Mentoring', 'Communication']",Bootcamp,5
res_79,Mid,Full-Stack,5,"['Express', 'Node.js', 'Angular', 'React']",[],"['Leadership', 'Communication']",Bachelor,6
res_80,Mid,DevOps,6,"['Kubernetes', 'Terraform', 'Docker', 'Jenkins']","['AWS', 'GCP', 'GitHub Actions']","['Mentoring', 'Leadership']",Master,3
res_81,Entry,Full-Stack,2,"['Express', 'Node.js', 'Angular', 'React']",[],"['Project Management', 'Mentoring']",Bachelor,8
res_82,Entry,Frontend,3,"['CSS3', 'JavaScript', 'Tailwind CSS', 'Python']","['Next.js', 'Vue.js', 'Angular']","['Problem Solving', 'Mentoring']",Master,5
res_83,Entry,Data,1,"['TensorFlow', 'Scikit-learn', 'Spark', 'Kafka']","['NumPy', 'PyTorch', 'Pandas']","['Leadership', 'Communication']",Bachelor,3
res_84,Entry,DevOps,1,"['AWS', 'GitHub Actions', 'Terraform', 'Jenkins']","['Kubernetes', 'Azure', 'GCP']","['Mentoring', 'Project Management']",Bachelor,8
res_85,Entry,Backend,0,"['Node.js', 'Python', 'FastAPI', 'Spring Boot']","['ASP.NET', 'TypeScript', 'JavaScript']","['Problem Solving', 'Communication']",Master,2
res_86,Entry,Full-Stack,3,"['Angular', 'React', 'Express', 'Node.js']",[],"['Mentoring', 'Project Management']",Bootcamp,7
res_87,Senior,Full-Stack,8,"['React', 'Express', 'Node.js', 'Angular']",[],"['Communication', 'Leadership']",Bachelor,7
res_88,Senior,Frontend,10,"['CSS3', 'Tailwind CSS', 'Next.js', 'Svelte']","['Python', 'Vue.js', 'JavaScript']","['Communication', 'Project Management']",Bootcamp,7
res_89,Mid,Backend,3,"['Node.js', 'Python', 'Rails', 'ASP.NET']","['Express', 'Flask', 'JavaScript']","['Problem Solving', 'Communication']",Bachelor,3
res_90,Senior,Backend,10,"['Python', 'Django', 'Spring Boot', 'JavaScript']","['FastAPI', 'TypeScript', 'Flask']","['Leadership', 'Mentoring']",Bachelor,2
res_91,Senior,Full-Stack,7,"['Node.js', 'Express', 'React', 'Angular']",[],"['Communication', 'Project Management']",Bachelor,2
res_92,Senior,Full-Stack,10,"['Express', 'React', 'Node.js', 'Angular']",[],"['Problem Solving', 'Project Management']",Master,7
res_93,Senior,Backend,8,"['Flask', 'FastAPI', 'Rails', 'Python']","['TypeScript', 'Spring Boot', 'JavaScript']","['Leadership', 'Problem Solving']",Bachelor,8
res_94,Principal,Full-Stack,12,"['Express', 'React', 'Angular', 'Node.js']",[],"['Project Management', 'Communication']",Bootcamp,4
res_95,Senior,Full-Stack,9,"['Angular', 'React', 'Node.js', 'Express']",[],"['Communication', 'Mentoring']",Bootcamp,4
res_96,Entry,Frontend,1,"['Vue.js', 'Svelte', 'JavaScript', 'Tailwind CSS']","['React', 'Python', 'HTML5']","['Problem Solving', 'Leadership']",Master,3
res_97,Senior,Data,8,"['TensorFlow', 'Spark', 'Pandas', 'NumPy']","['Scikit-learn', 'PyTorch', 'Kafka']","['Leadership', 'Problem Solving']",Master,2
res_98,Mid,Full-Stack,4,"['React', 'Angular', 'Express', 'Node.js']",[],"['Problem Solving', 'Project Management']",Bootcamp,6
res_99,Mid,Data,3,"['PyTorch', 'Scikit-learn', 'Spark', 'NumPy']","['TensorFlow', 'Pandas', 'Kafka']","['Mentoring', 'Leadership']",Bootcamp,5
res_100,Entry,Full-Stack,1,"['Express', 'Node.js', 'React', 'Angular']",[],"['Project Management', 'Leadership']",Bachelor,2
res_101,Entry,Data,0,"['Pandas', 'TensorFlow', 'NumPy', 'Spark']","['Scikit-learn', 'Kafka', 'PyTorch']","['Problem Solving', 'Communication']",Bachelor,3
res_102,Senior,Backend,10,"['TypeScript', 'Spring Boot', 'ASP.NET', 'Django']","['FastAPI', 'Express', 'Python']","['Mentoring', 'Communication']",Bootcamp,3
res_103,Mid,Data,3,"['Scikit-learn', 'TensorFlow', 'NumPy', 'Spark']","['Kafka', 'PyTorch', 'Pandas']","['Leadership', 'Problem Solving']",Master,6
res_104,Mid,Data,6,"['Pandas', 'Spark', 'Scikit-learn', 'PyTorch']","['TensorFlow', 'Kafka', 'NumPy']","['Mentoring', 'Problem Solving']",Master,4
res_105,Mid,Full-Stack,4,"['Angular', 'React', 'Node.js', 'Express']",[],"['Problem Solving', 'Leadership']",Bootcamp,6
res_106,Mid,Frontend,3,"['HTML5', 'JavaScript', 'Angular', 'CSS3']","['Python', 'Svelte', 'React']","['Leadership', 'Communication']",Bootcamp,2
res_107,Mid,Full-Stack,4,"['React', 'Angular', 'Express', 'Node.js']",[],"['Communication', 'Leadership']",Bachelor,2
res_108,Entry,DevOps,3,"['GitHub Actions', 'GCP', 'AWS', 'Docker']","['Jenkins', 'Terraform', 'Kubernetes']","['Problem Solving', 'Leadership']",Bootcamp,8
res_109,Mid,Full-Stack,5,"['Express', 'Angular', 'React', 'Node.js']",[],"['Leadership', 'Project Management']",Bootcamp,3
res_110,Mid,DevOps,3,"['Jenkins', 'GitHub Actions', 'Docker', 'Terraform']","['GCP', 'Kubernetes', 'Azure']","['Problem Solving', 'Project Management']",Master,4
res_111,Principal,DevOps,13,"['Azure', 'Jenkins', 'GCP', 'AWS']","['GitHub Actions', 'Terraform', 'Docker']","['Communication', 'Problem Solving']",Bachelor,4
res_112,Principal,Data,12,"['PyTorch', 'Pandas', 'Scikit-learn', 'Kafka']","['NumPy', 'Spark', 'TensorFlow']","['Mentoring', 'Problem Solving']",Bachelor,5
res_113,Senior,Data,10,"['TensorFlow', 'Pandas', 'Kafka', 'NumPy']","['PyTorch', 'Spark', 'Scikit-learn']","['Communication', 'Leadership']",Bachelor,8
res_114,Senior,DevOps,7,"['Docker', 'Jenkins', 'GitHub Actions', 'Azure']","['Kubernetes', 'GCP', 'AWS']","['Leadership', 'Mentoring']",Master,2
res_115,Senior,DevOps,8,"['GCP', 'Docker', 'Jenkins', 'AWS']","['GitHub Actions', 'Kubernetes', 'Terraform']","['Problem Solving', 'Communication']",Bachelor,8
res_116,Entry,Data,1,"['Kafka', 'TensorFlow', 'PyTorch', 'NumPy']","['Spark', 'Pandas', 'Scikit-learn']","['Problem Solving', 'Project Management']",Bootcamp,8
res_117,Entry,Data,0,"['Spark', 'TensorFlow', 'Pandas', 'NumPy']","['Scikit-learn', 'PyTorch', 'Kafka']","['Communication', 'Leadership']",Master,6
res_118,Principal,Frontend,12,"['Vue.js', 'Tailwind CSS', 'Next.js', 'CSS3']","['React', 'Angular', 'JavaScript']","['Communication', 'Mentoring']",Master,5
res_119,Mid,Backend,4,"['Spring Boot', 'Express', 'Django', 'FastAPI']","['Python', 'Rails', 'Flask']","['Mentoring', 'Problem Solving']",Master,3
res_120,Senior,DevOps,7,"['AWS', 'Terraform', 'GitHub Actions', 'GCP']","['Jenkins', 'Azure', 'Docker']","['Mentoring', 'Leadership']",Bootcamp,4
res_121,Entry,DevOps,0,"['Docker', 'GitHub Actions', 'Jenkins', 'Azure']","['GCP', 'AWS', 'Kubernetes']","['Project Management', 'Leadership']",Bachelor,8
res_122,Senior,Full-Stack,9,"['Angular', 'Express', 'React', 'Node.js']",[],"['Project Management', 'Problem Solving']",Bachelor,2
res_123,Mid,DevOps,5,"['Azure', 'GitHub Actions', 'GCP', 'Docker']","['AWS', 'Terraform', 'Kubernetes']","['Leadership', 'Problem Solving']",Bootcamp,3
res_124,Mid,Full-Stack,5,"['React', 'Node.js', 'Express', 'Angular']",[],"['Project Management', 'Communication']",Bootcamp,3
res_125,Senior,Backend,10,"['ASP.NET', 'Spring Boot', 'Express', 'TypeScript']","['Node.js', 'FastAPI', 'Flask']","['Leadership', 'Mentoring']",Bachelor,4
res_126,Principal,Full-Stack,12,"['React', 'Angular', 'Node.js', 'Express']",[],"['Leadership', 'Communication']",Bootcamp,4
res_127,Senior,Data,9,"['PyTorch', 'Kafka', 'NumPy', 'Pandas']","['Spark', 'TensorFlow', 'Scikit-learn']","['Leadership', 'Project Management']",Master,5
res_128,Principal,Data,11,"['Kafka', 'Scikit-learn', 'Spark', 'TensorFlow']","['NumPy', 'Pandas', 'PyTorch']","['Project Management', 'Problem Solving']",Master,4
res_129,Mid,Backend,6,"['Express', 'Flask', 'JavaScript', 'Django']","['Python', 'Node.js', 'Spring Boot']","['Project Management', 'Mentoring']",Bachelor,3
res_130,Principal,Frontend,13,"['HTML5', 'Vue.js', 'Next.js', 'Tailwind CSS']","['React', 'CSS3', 'Angular']","['Problem Solving', 'Project Management']",Master,3
res_131,Entry,Frontend,2,"['React', 'JavaScript', 'CSS3', 'Vue.js']","['Python', 'Svelte', 'HTML5']","['Problem Solving', 'Project Management']",Bootcamp,3
res_132,Mid,Frontend,6,"['Python', 'HTML5', 'Vue.js', 'Next.js']","['Svelte', 'Angular', 'React']","['Mentoring', 'Project Management']",Master,6
res_133,Principal,Frontend,12,"['Next.js', 'React', 'Python', 'Tailwind CSS']","['HTML5', 'Svelte', 'Vue.js']","['Leadership', 'Problem Solving']",Master,5
res_134,Mid,Data,6,"['TensorFlow', 'PyTorch', 'Scikit-learn', 'Pandas']","['NumPy', 'Kafka', 'Spark']","['Project Management', 'Problem Solving']",Master,2
res_135,Principal,Frontend,14,"['JavaScript', 'Tailwind CSS', 'React', 'Python']","['Svelte', 'Angular', 'HTML5']","['Mentoring', 'Project Management']",Bootcamp,7
res_136,Principal,Full-Stack,11,"['React', 'Node.js', 'Express', 'Angular']",[],"['Project Management', 'Communication']",Bachelor,4
res_137,Mid,Data,3,"['PyTorch', 'Pandas', 'TensorFlow', 'Scikit-learn']","['Spark', 'NumPy', 'Kafka']","['Problem Solving', 'Mentoring']",Bootcamp,8
res_138,Senior,Full-Stack,10,"['Angular', 'Node.js', 'React', 'Express']",[],"['Mentoring', 'Leadership']",Master,5
res_139,Entry,Frontend,0,"['Next.js', 'Svelte', 'Vue.js', 'React']","['CSS3', 'JavaScript', 'HTML5']","['Mentoring', 'Problem Solving']",Master,2
res_140,Entry,Frontend,2,"['Tailwind CSS', 'React', 'Angular', 'JavaScript']","['HTML5', 'Python', 'Next.js']","['Communication', 'Mentoring']",Master,7
res_141,Entry,Data,2,"['Scikit-learn', 'Spark', 'Kafka', 'NumPy']","['Pandas', 'TensorFlow', 'PyTorch']","['Mentoring', 'Leadership']",Bootcamp,7
res_142,Mid,Full-Stack,4,"['React', 'Express', 'Angular', 'Node.js']",[],"['Problem Solving', 'Project Management']",Master,2
res_143,Senior,Frontend,8,"['Next.js', 'Vue.js', 'HTML5', 'CSS3']","['JavaScript', 'React', 'Angular']","['Communication', 'Problem Solving']",Bachelor,6
res_144,Entry,Data,1,"['Scikit-learn', 'Kafka', 'TensorFlow', 'PyTorch']","['NumPy', 'Pandas', 'Spark']","['Problem Solving', 'Communication']",Bachelor,4
res_145,Mid,Data,6,"['PyTorch', 'NumPy', 'Scikit-learn', 'TensorFlow']","['Spark', 'Kafka', 'Pandas']","['Problem Solving', 'Project Management']",Master,3
res_146,Entry,Data,3,"['Spark', 'TensorFlow', 'PyTorch', 'Pandas']","['NumPy', 'Kafka', 'Scikit-learn']","['Problem Solving', 'Mentoring']",Bachelor,6
res_147,Entry,DevOps,0,"['Azure', 'Kubernetes', 'Docker', 'AWS']","['GitHub Actions', 'Jenkins', 'GCP']","['Leadership', 'Problem Solving']",Bachelor,6
res_148,Mid,Frontend,5,"['Python', 'React', 'CSS3', 'Tailwind CSS']","['Next.js', 'JavaScript', 'Vue.js']","['Problem Solving', 'Communication']",Master,8
res_149,Principal,Data,11,"['NumPy', 'Scikit-learn', 'Kafka', 'Pandas']","['Spark', 'TensorFlow', 'PyTorch']","['Communication', 'Project Management']",Bachelor,8
res_150,Principal,Frontend,13,"['Svelte', 'JavaScript', 'Tailwind CSS', 'Next.js']","['Python', 'Angular', 'CSS3']","['Mentoring', 'Problem Solving']",Master,5
res_151,Principal,Data,14,"['PyTorch', 'Kafka', 'Scikit-learn', 'NumPy']","['Spark', 'Pandas', 'TensorFlow']","['Communication', 'Leadership']",Master,2
res_152,Mid,Data,5,"['Kafka', 'Spark', 'Scikit-learn', 'NumPy']","['Pandas', 'PyTorch', 'TensorFlow']","['Mentoring', 'Project Management']",Bootcamp,8
res_153,Senior,Backend,9,"['Spring Boot', 'Flask', 'Django', 'Rails']","['JavaScript', 'FastAPI', 'Python']","['Mentoring', 'Project Management']",Bachelor,3
res_154,Senior,Backend,8,"['Flask', 'Node.js', 'TypeScript', 'Django']","['FastAPI', 'Spring Boot', 'Rails']","['Problem Solving', 'Leadership']",Bootcamp,4
res_155,Senior,Data,7,"['Pandas', 'NumPy', 'Spark', 'TensorFlow']","['Kafka', 'PyTorch', 'Scikit-learn']","['Communication', 'Mentoring']",Bachelor,6
res_156,Entry,Backend,1,"['Express', 'Node.js', 'TypeScript', 'Python']","['ASP.NET', 'Spring Boot', 'Django']","['Communication', 'Mentoring']",Bachelor,5
res_157,Senior,Frontend,9,"['CSS3', 'Svelte', 'Python', 'Next.js']","['Vue.js', 'Tailwind CSS', 'JavaScript']","['Leadership', 'Mentoring']",Master,4
res_158,Mid,DevOps,3,"['Docker', 'Azure', 'Terraform', 'GCP']","['GitHub Actions', 'AWS', 'Kubernetes']","['Mentoring', 'Communication']",Bachelor,2
res_159,Entry,DevOps,0,"['GitHub Actions', 'AWS', 'Jenkins', 'Kubernetes']","['Docker', 'Terraform', 'GCP']","['Leadership', 'Problem Solving']",Master,5
res_160,Mid,Data,4,"['Kafka', 'NumPy', 'Scikit-learn', 'PyTorch']","['TensorFlow', 'Pandas', 'Spark']","['Mentoring', 'Project Management']",Master,5
res_161,Entry,Frontend,3,"['Next.js', 'Vue.js', 'Tailwind CSS', 'CSS3']","['React', 'Python', 'Angular']","['Problem Solving', 'Mentoring']",Master,3
res_162,Principal,Backend,14,"['Flask', 'TypeScript', 'Node.js', 'Spring Boot']","['FastAPI', 'Django', 'ASP.NET']","['Communication', 'Project Management']",Bachelor,6
res_163,Senior,Backend,8,"['ASP.NET', 'Node.js', 'Express', 'TypeScript']","['Spring Boot', 'Django', 'FastAPI']","['Project Management', 'Problem Solving']",Bootcamp,6
res_164,Mid,DevOps,6,"['Docker', 'Jenkins', 'Terraform', 'Azure']","['Kubernetes', 'GCP', 'AWS']","['Mentoring', 'Communication']",Master,7
res_165,Principal,Full-Stack,12,"['Angular', 'Node.js', 'Express', 'React']",[],"['Mentoring', 'Leadership']",Bachelor,3
res_166,Senior,DevOps,8,"['Kubernetes', 'GCP', 'Azure', 'GitHub Actions']","['Terraform', 'Docker', 'AWS']","['Problem Solving', 'Communication']",Master,3
