resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00023,Data Engineer,Junior,Kafka;GCP;Airflow;SQL;Python,AWS;ETL,Spark,,3.5,2,medium,0.72
R00024,Site Reliability Engineer,New Grad,Python;Observability;SLIs/SLOs;Linux,Kubernetes;Go,Incident Response,,2.4,4,medium,0.68
R00025,Full-Stack Engineer,Intern,JavaScript;Python;SQL,AWS;Docker,TypeScript,React;Node.js,0.7,2,medium,0.57
R00026,Backend Software Engineer,Mid,Java;Docker;PostgreSQL;C++;AWS;Go,Kubernetes;CI/CD,REST APIs,Python,5.5,1,high,0.77
R00027,Data Engineer,Senior,GCP;SQL;Airflow;Python;ETL;AWS;Spark,Kafka,,,11.5,0,high,0.82
R00028,Systems Software Engineer,Intern,Profiling;C++;Rust,Linux;Memory Management,C,Concurrency,1.0,2,medium,0.57
R00029,Frontend Engineer,New Grad,Next.js;TypeScript;CSS;Testing,Accessibility;React,HTML,JavaScript,1.7,4,medium,0.64
R00030,Frontend Engineer,Mid,Testing;CSS;JavaScript;Next.js;React;HTML,Accessibility;TypeScript,,,4.1,2,high,0.71
R00031,Machine Learning Engineer,Senior,TensorFlow;Python;PyTorch;AWS;Docker;MLflow;scikit-learn,,,,7.5,1,high,0.79
R00032,Site Reliability Engineer,Senior,Go;Linux;SLIs/SLOs;Incident Response;Observability;Kubernetes;Python,,,,9.9,2,high,0.84
R00033,Data Engineer,Senior,SQL;Kafka;GCP;Python;Spark;AWS;ETL,Airflow,,,10.2,1,high,0.78
R00034,Site Reliability Engineer,New Grad,Python;Linux;Observability;SLIs/SLOs,Go;Incident Response,Kubernetes,,2.4,4,medium,0.61
R00035,Machine Learning Engineer,Senior,AWS;PyTorch;TensorFlow;scikit-learn;MLflow;Python;Docker,,,,10.1,2,high,0.78
R00036,Backend Software Engineer,Senior,AWS;CI/CD;C++;Docker;Java;Kubernetes;Python,REST APIs;PostgreSQL,SQL,,7.2,0,high,0.8
R00037,Systems Software Engineer,Senior,C++;Rust;Profiling;Concurrency;Linux;Memory Management;C,,,,8.5,0,high,0.83
R00038,Backend Software Engineer,Intern,REST APIs;Go;Python,C++;AWS,Docker,CI/CD;PostgreSQL;Kubernetes,1.1,4,medium,0.57
R00039,Data Engineer,Intern,GCP;Python;Spark,Kafka;AWS,ETL,Airflow;SQL,0.3,4,medium,0.55
R00040,Data Engineer,Intern,AWS;Python;Airflow,Kafka;Spark,SQL,ETL;GCP,0.3,4,medium,0.58
R00041,Frontend Engineer,Intern,JavaScript;React;Accessibility,Next.js;TypeScript,Testing,HTML;CSS,0.9,5,medium,0.63
R00042,DevOps Engineer,Intern,Linux;Terraform;CI/CD,AWS;Kubernetes,Python,Docker,1.1,3,medium,0.63
R00043,Machine Learning Engineer,Intern,Python;scikit-learn;Docker,PyTorch;MLflow,TensorFlow,AWS,0.1,4,medium,0.6
R00044,Backend Software Engineer,Junior,AWS;Java;CI/CD;Kubernetes;PostgreSQL,Docker;SQL,C++,Python;Go,2.1,3,medium,0.67
R00045,Machine Learning Engineer,Intern,scikit-learn;AWS;Python,Docker;MLflow,TensorFlow,PyTorch,1.0,5,medium,0.61
R00046,Machine Learning Engineer,Intern,Docker;AWS;TensorFlow,PyTorch;Python,MLflow,scikit-learn,0.2,4,medium,0.6
R00047,Frontend Engineer,Mid,HTML;Next.js;Accessibility;CSS;JavaScript;React,TypeScript;Testing,,,6.0,2,high,0.8
R00048,DevOps Engineer,Intern,Docker;Kubernetes;Python,CI/CD;Linux,Terraform,AWS,0.7,5,medium,0.62
R00049,Data Engineer,Senior,Kafka;Python;ETL;Spark;SQL;Airflow;GCP,AWS,,,7.7,2,high,0.75
R00050,Backend Software Engineer,Senior,SQL;Go;REST APIs;PostgreSQL;C++;Kubernetes;Python,AWS;Java,CI/CD,,10.4,1,high,0.83
R00051,Systems Software Engineer,Intern,Memory Management;Rust;Profiling,Linux;C,Concurrency,C++,1.4,2,medium,0.65
R00052,Frontend Engineer,New Grad,JavaScript;React;Testing;CSS,HTML;Accessibility,TypeScript,Next.js,1.6,3,medium,0.7
R00053,Systems Software Engineer,Junior,Profiling;Linux;C;Memory Management;Rust,C++;Concurrency,,,2.4,2,medium,0.65
R00054,Systems Software Engineer,Junior,Profiling;Rust;Linux;C;Memory Management,C++;Concurrency,,,3.5,3,medium,0.7
R00055,Embedded Software Engineer,New Grad,SPI;Microcontrollers;I2C;C++,UART;RTOS,Debugging,C,1.4,4,medium,0.62
R00056,Full-Stack Engineer,Intern,React;AWS;Python,SQL;Docker,JavaScript,TypeScript;Node.js,0.8,5,medium,0.56
R00057,Embedded Software Engineer,Junior,SPI;UART;Debugging;C++;C,I2C;Microcontrollers,RTOS,,2.6,2,medium,0.69
R00058,Site Reliability Engineer,Intern,Kubernetes;Go;Observability,Incident Response;Linux,Python,SLIs/SLOs,0.4,2,medium,0.58
R00059,Machine Learning Engineer,New Grad,TensorFlow;Python;PyTorch;Docker,MLflow;AWS,scikit-learn,,2.0,3,medium,0.6
R00060,Systems Software Engineer,Senior,Profiling;Linux;Memory Management;C++;C;Rust;Concurrency,,,,11.6,2,high,0.77
R00061,Frontend Engineer,Senior,Testing;JavaScript;HTML;Accessibility;CSS;Next.js;React,TypeScript,,,10.6,2,high,0.81
R00062,Data Engineer,Senior,AWS;ETL;Python;GCP;Kafka;SQL;Airflow,Spark,,,10.1,2,high,0.78
R00063,Backend Software Engineer,Intern,SQL;PostgreSQL;C++,CI/CD;Docker,Java,Kubernetes;Go;Python,0.5,5,medium,0.65
R00064,Data Engineer,Intern,SQL;Spark;GCP,ETL;Kafka,Python,AWS;Airflow,0.3,5,medium,0.62
R00065,Systems Software Engineer,New Grad,Profiling;Rust;Concurrency;C,C++;Linux,Memory Management,,1.6,2,medium,0.63
R00066,Machine Learning Engineer,Intern,Python;MLflow;scikit-learn,TensorFlow;PyTorch,AWS,Docker,0.3,4,medium,0.64
R00067,Backend Software Engineer,Senior,Python;C++;CI/CD;Go;Kubernetes;AWS;PostgreSQL,SQL;Docker,REST APIs,,7.7,1,high,0.84
R00068,Embedded Software Engineer,Mid,I2C;C++;UART;SPI;Microcontrollers;C,Debugging;RTOS,,,7.0,1,high,0.78
R00069,Embedded Software Engineer,New Grad,SPI;C;RTOS;Microcontrollers,C++;UART,I2C,Debugging,1.2,2,medium,0.64
R00070,Data Engineer,Mid,GCP;SQL;Spark;Kafka;Airflow;Python,AWS;ETL,,,5.3,1,high,0.77
R00071,DevOps Engineer,Intern,Linux;Kubernetes;AWS,Terraform;Python,Docker,CI/CD,0.6,5,medium,0.57
R00072,Frontend Engineer,Senior,CSS;HTML;JavaScript;React;Accessibility;TypeScript;Next.js,Testing,,,8.7,1,high,0.82
R00073,Frontend Engineer,Intern,Testing;Accessibility;Next.js,React;HTML,TypeScript,JavaScript;CSS,0.4,5,medium,0.57
R00074,Data Engineer,Mid,ETL;AWS;Spark;Airflow;GCP;Kafka,Python;SQL,,,6.3,1,high,0.74
R00075,Full-Stack Engineer,Intern,AWS;Node.js;Docker,Python;TypeScript,React,JavaScript;SQL,0.1,2,medium,0.58
R00076,Frontend Engineer,Intern,React;TypeScript;Accessibility,CSS;Testing,HTML,JavaScript;Next.js,0.6,5,medium,0.63
R00077,Data Engineer,New Grad,Kafka;ETL;Spark;SQL,GCP;Python,Airflow,AWS,1.9,3,medium,0.62
R00078,Data Engineer,Senior,SQL;Airflow;Spark;GCP;Kafka;ETL;Python,AWS,,,9.9,1,high,0.85
R00079,Frontend Engineer,Intern,Testing;React;JavaScript,HTML;Next.js,TypeScript,CSS;Accessibility,1.3,3,medium,0.61
R00080,Machine Learning Engineer,Senior,scikit-learn;MLflow;TensorFlow;Python;AWS;PyTorch;Docker,,,,8.9,0,high,0.75
R00081,Embedded Software Engineer,Intern,C;SPI;I2C,RTOS;C++,UART,Debugging;Microcontrollers,0.3,4,medium,0.57
R00082,Data Engineer,Intern,GCP;Python;Airflow,SQL;ETL,AWS,Spark;Kafka,0.0,5,medium,0.62
R00083,Systems Software Engineer,Mid,Memory Management;Rust;Linux;C;C++;Profiling,Concurrency,,,5.2,2,high,0.74
R00084,Embedded Software Engineer,Junior,Microcontrollers;C;Debugging;C++;I2C,RTOS;UART,SPI,,2.8,2,medium,0.71
R00085,Embedded Software Engineer,Junior,C;SPI;C++;Microcontrollers;Debugging,UART;I2C,RTOS,,2.3,1,medium,0.66
R00086,Data Engineer,Intern,SQL;Airflow;AWS,Spark;Kafka,Python,ETL;GCP,0.3,2,medium,0.58
R00087,Systems Software Engineer,Intern,Memory Management;C++;Concurrency,Profiling;Linux,C,Rust,1.1,3,medium,0.57
R00088,Machine Learning Engineer,Intern,scikit-learn;TensorFlow;Python,MLflow;PyTorch,Docker,AWS,1.4,3,medium,0.64
R00089,Backend Software Engineer,Mid,Kubernetes;Docker;AWS;SQL;PostgreSQL;C++,Go;Java,REST APIs,CI/CD,5.0,2,high,0.77
R00090,DevOps Engineer,Junior,CI/CD;Kubernetes;Terraform;Python;AWS,Docker;Linux,,,2.4,1,medium,0.73
R00091,Systems Software Engineer,Intern,Rust;C;Linux,C++;Profiling,Concurrency,Memory Management,0.2,5,medium,0.64
R00092,Embedded Software Engineer,Mid,UART;I2C;C++;C;SPI;RTOS,Microcontrollers;Debugging,,,5.5,1,high,0.71
R00093,DevOps Engineer,New Grad,Terraform;AWS;Python;Linux,Kubernetes;CI/CD,Docker,,2.2,2,medium,0.63
R00094,Data Engineer,Senior,GCP;SQL;Kafka;Spark;AWS;Airflow;ETL,Python,,,9.3,1,high,0.77
R00095,Systems Software Engineer,Intern,Linux;C++;Rust,C;Memory Management,Concurrency,Profiling,1.4,4,medium,0.65
R00096,DevOps Engineer,Junior,Docker;CI/CD;Kubernetes;AWS;Python,Terraform;Linux,,,3.2,1,medium,0.71
R00097,Embedded Software Engineer,New Grad,RTOS;SPI;I2C;C,UART;Debugging,Microcontrollers,C++,1.1,2,medium,0.66
R00098,Embedded Software Engineer,Mid,RTOS;Debugging;SPI;Microcontrollers;I2C;UART,C++;C,,,6.2,1,high,0.71
R00099,Machine Learning Engineer,Junior,Python;MLflow;TensorFlow;Docker;AWS,scikit-learn;PyTorch,,,2.1,1,medium,0.69
R00100,Data Engineer,Junior,GCP;SQL;AWS;Python;ETL,Kafka;Spark,Airflow,,2.4,3,medium,0.66
R00101,Full-Stack Engineer,Senior,Node.js;JavaScript;Docker;AWS;Python;React;TypeScript,SQL,,,10.9,1,high,0.77
R00102,Backend Software Engineer,Intern,Go;C++;CI/CD,Python;AWS,Java,SQL;PostgreSQL;Kubernetes,0.8,5,medium,0.59
R00103,Site Reliability Engineer,Junior,Kubernetes;Observability;Python;Go;Linux,SLIs/SLOs;Incident Response,,,3.0,3,medium,0.75
R00104,DevOps Engineer,Mid,Terraform;Kubernetes;Linux;AWS;CI/CD;Docker,Python,,,4.0,2,high,0.73
R00105,Backend Software Engineer,Intern,Python;SQL;AWS,Kubernetes;Docker,REST APIs,C++;CI/CD;PostgreSQL,1.3,4,medium,0.64
R00106,Machine Learning Engineer,Intern,TensorFlow;PyTorch;Docker,scikit-learn;MLflow,AWS,Python,0.8,3,medium,0.64
R00107,Embedded Software Engineer,Junior,Debugging;Microcontrollers;SPI;C;I2C,RTOS;C++,UART,,2.8,3,medium,0.73
R00108,Systems Software Engineer,Junior,C++;C;Memory Management;Concurrency;Linux,Rust;Profiling,,,2.2,1,medium,0.75
R00109,Backend Software Engineer,Intern,Java;Python;CI/CD,Docker;C++,AWS,Go;REST APIs;Kubernetes,0.2,2,medium,0.57
R00110,Machine Learning Engineer,Intern,AWS;Docker;TensorFlow,MLflow;Python,PyTorch,scikit-learn,0.1,2,medium,0.63
R00111,Machine Learning Engineer,New Grad,Python;TensorFlow;Docker;MLflow,PyTorch;scikit-learn,AWS,,1.5,3,medium,0.68
R00112,Site Reliability Engineer,Junior,Linux;Kubernetes;SLIs/SLOs;Incident Response;Go,Python;Observability,,,2.6,3,medium,0.7
R00113,Backend Software Engineer,Junior,Kubernetes;SQL;Go;REST APIs;Python,AWS;C++,Docker,Java;CI/CD,2.4,1,medium,0.68
R00114,Frontend Engineer,Junior,Testing;HTML;React;Accessibility;CSS,Next.js;JavaScript,TypeScript,,3.6,1,medium,0.73
R00115,Machine Learning Engineer,Junior,AWS;Python;scikit-learn;Docker;TensorFlow,MLflow;PyTorch,,,2.2,3,medium,0.66
R00116,Systems Software Engineer,Senior,Memory Management;C;Rust;C++;Linux;Concurrency;Profiling,,,,10.7,1,high,0.84
R00117,Site Reliability Engineer,Intern,Kubernetes;Python;Observability,Linux;Go,SLIs/SLOs,Incident Response,1.5,3,medium,0.64
R00118,DevOps Engineer,Mid,Kubernetes;AWS;Docker;Python;Linux;Terraform,CI/CD,,,6.2,1,high,0.76
R00119,Machine Learning Engineer,Junior,AWS;MLflow;PyTorch;Docker;Python,scikit-learn;TensorFlow,,,2.5,3,medium,0.67
R00120,Embedded Software Engineer,Senior,C++;Debugging;I2C;C;UART;Microcontrollers;SPI,RTOS,,,8.3,2,high,0.83
R00121,Data Engineer,New Grad,SQL;Spark;GCP;Airflow,AWS;Python,Kafka,ETL,1.3,4,medium,0.69
R00122,Systems Software Engineer,Mid,Linux;C;C++;Rust;Profiling;Concurrency,Memory Management,,,5.5,2,high,0.77
R00123,Systems Software Engineer,Mid,Profiling;C++;Concurrency;Memory Management;Rust;C,Linux,,,5.8,2,high,0.75
R00124,Embedded Software Engineer,New Grad,Microcontrollers;UART;Debugging;C++,SPI;RTOS,I2C,C,2.1,3,medium,0.6
R00125,Systems Software Engineer,Junior,Memory Management;Rust;C;Linux;C++,Concurrency;Profiling,,,3.3,1,medium,0.68
R00126,Machine Learning Engineer,Intern,MLflow;TensorFlow;Python,AWS;Docker,PyTorch,scikit-learn,1.2,3,medium,0.6
R00127,Embedded Software Engineer,Junior,Microcontrollers;I2C;C++;Debugging;C,UART;SPI,RTOS,,2.8,2,medium,0.68
R00128,Systems Software Engineer,New Grad,Linux;Memory Management;Rust;Concurrency,C;Profiling,C++,,1.0,3,medium,0.67
R00129,Site Reliability Engineer,Senior,Kubernetes;Python;Incident Response;Observability;Linux;Go;SLIs/SLOs,,,,12.0,1,high,0.81
R00130,Machine Learning Engineer,Mid,scikit-learn;TensorFlow;MLflow;PyTorch;AWS;Docker,Python,,,4.4,2,high,0.73
R00131,Systems Software Engineer,Mid,Linux;C;Rust;Concurrency;Memory Management;C++,Profiling,,,6.9,1,high,0.75
R00132,Systems Software Engineer,Junior,C++;Rust;Linux;C;Concurrency,Profiling;Memory Management,,,2.2,2,medium,0.7
R00133,Embedded Software Engineer,Junior,Microcontrollers;C;I2C;RTOS;SPI,Debugging;C++,UART,,2.0,1,medium,0.74
R00134,Full-Stack Engineer,Mid,React;AWS;Node.js;TypeScript;JavaScript;Python,Docker;SQL,,,5.0,1,high,0.75
R00135,Machine Learning Engineer,Junior,Docker;Python;MLflow;AWS;PyTorch,scikit-learn;TensorFlow,,,3.5,2,medium,0.73
R00136,DevOps Engineer,Junior,Python;Terraform;Kubernetes;AWS;CI/CD,Linux;Docker,,,2.1,2,medium,0.67
R00137,Embedded Software Engineer,Junior,SPI;UART;Microcontrollers;RTOS;I2C,C++;C,Debugging,,3.1,3,medium,0.71
R00138,Backend Software Engineer,Intern,Java;AWS;Docker,CI/CD;Kubernetes,Go,Python;C++;SQL,0.1,4,medium,0.59
R00139,Full-Stack Engineer,New Grad,SQL;React;Node.js;AWS,TypeScript;Docker,Python,JavaScript,2.3,3,medium,0.64
R00140,Site Reliability Engineer,Intern,SLIs/SLOs;Kubernetes;Incident Response,Go;Observability,Python,Linux,0.4,4,medium,0.65
R00141,DevOps Engineer,Mid,Terraform;Docker;Python;Linux;Kubernetes;CI/CD,AWS,,,5.0,2,high,0.75
R00142,Backend Software Engineer,New Grad,C++;Docker;Python;REST APIs,AWS;Go,CI/CD,Java;Kubernetes,1.2,2,medium,0.6
R00143,DevOps Engineer,Junior,Python;Linux;Kubernetes;Terraform;Docker,CI/CD;AWS,,,2.3,3,medium,0.74
R00144,Full-Stack Engineer,Mid,Node.js;TypeScript;React;JavaScript;Python;AWS,Docker;SQL,,,5.7,2,high,0.75
R00145,Site Reliability Engineer,Intern,Observability;Incident Response;Kubernetes,SLIs/SLOs;Linux,Python,Go,0.2,5,medium,0.61
R00146,Full-Stack Engineer,Junior,TypeScript;SQL;React;AWS;Node.js,Docker;JavaScript,Python,,2.8,1,medium,0.65
R00147,Frontend Engineer,Senior,TypeScript;Testing;Next.js;JavaScript;React;CSS;HTML,Accessibility,,,11.3,0,high,0.82
R00148,Full-Stack Engineer,Senior,Python;SQL;JavaScript;AWS;React;TypeScript;Node.js,Docker,,,8.8,2,high,0.82
R00149,Backend Software Engineer,Intern,REST APIs;SQL;Kubernetes,Go;AWS,PostgreSQL,CI/CD;Python;Java,1.3,2,medium,0.59
R00150,DevOps Engineer,Junior,Docker;Terraform;Python;Kubernetes;CI/CD,AWS;Linux,,,2.3,1,medium,0.74
R00151,Embedded Software Engineer,New Grad,I2C;UART;SPI;C,RTOS;Microcontrollers,Debugging,C++,1.1,4,medium,0.7
R00152,Machine Learning Engineer,New Grad,AWS;PyTorch;scikit-learn;TensorFlow,Docker;Python,MLflow,,2.0,4,medium,0.63
R00153,Systems Software Engineer,Intern,Rust;C++;Concurrency,Linux;Profiling,Memory Management,C,1.4,2,medium,0.6
R00154,Site Reliability Engineer,Junior,SLIs/SLOs;Incident Response;Python;Go;Kubernetes,Linux;Observability,,,3.6,1,medium,0.7
R00155,Machine Learning Engineer,Senior,AWS;scikit-learn;Docker;Python;TensorFlow;PyTorch;MLflow,,,,9.9,0,high,0.77
R00156,Site Reliability Engineer,Senior,Go;Kubernetes;Observability;Python;Linux;SLIs/SLOs;Incident Response,,,,11.4,2,high,0.76
R00157,Data Engineer,New Grad,Spark;SQL;Python;Airflow,AWS;Kafka,GCP,ETL,1.8,3,medium,0.68
R00158,Full-Stack Engineer,New Grad,JavaScript;AWS;Docker;TypeScript,SQL;Node.js,Python,React,1.0,3,medium,0.69
R00159,Data Engineer,New Grad,Spark;GCP;Python;AWS,Airflow;SQL,ETL,Kafka,2.4,4,medium,0.6
R00160,Backend Software Engineer,Junior,Docker;Java;REST APIs;Kubernetes;PostgreSQL,Python;C++,AWS,CI/CD;Go,3.7,2,medium,0.71
R00161,Site Reliability Engineer,New Grad,Go;Python;Incident Response;Observability,Linux;Kubernetes,SLIs/SLOs,,1.7,2,medium,0.61
R00162,Site Reliability Engineer,Senior,Go;Observability;Kubernetes;Linux;Incident Response;SLIs/SLOs;Python,,,,11.2,0,high,0.83
R00163,Machine Learning Engineer,Mid,AWS;Docker;Python;scikit-learn;PyTorch;TensorFlow,MLflow,,,4.9,2,high,0.74
R00164,Embedded Software Engineer,Junior,RTOS;I2C;C;Microcontrollers;C++,SPI;Debugging,UART,,2.3,1,medium,0.66
R00165,Embedded Software Engineer,Senior,C++;Microcontrollers;C;I2C;UART;Debugging;RTOS,SPI,,,7.7,1,high,0.8
R00166,Embedded Software Engineer,Intern,RTOS;I2C;Microcontrollers,Debugging;C++,SPI,C;UART,0.3,2,medium,0.59
R00167,Machine Learning Engineer,Intern,TensorFlow;PyTorch;AWS,Docker;Python,MLflow,scikit-learn,0.4,4,medium,0.64
R00168,Frontend Engineer,Intern,Testing;Accessibility;React,JavaScript;Next.js,TypeScript,CSS;HTML,0.8,3,medium,0.65
R00169,Machine Learning Engineer,Senior,scikit-learn;PyTorch;Python;TensorFlow;MLflow;AWS;Docker,,,,7.5,1,high,0.83
R00170,Embedded Software Engineer,Junior,SPI;C++;RTOS;Microcontrollers;C,UART;I2C,Debugging,,2.9,3,medium,0.71
R00171,Full-Stack Engineer,Mid,Python;TypeScript;Node.js;JavaScript;SQL;AWS,Docker;React,,,5.6,1,high,0.72
R00172,Full-Stack Engineer,Junior,Node.js;TypeScript;JavaScript;SQL;React,AWS;Python,Docker,,3.4,1,medium,0.68
R00173,DevOps Engineer,Intern,Python;Terraform;Docker,Kubernetes;Linux,AWS,CI/CD,0.6,5,medium,0.57
R00174,Embedded Software Engineer,Junior,Debugging;SPI;C;I2C;RTOS,UART;C++,Microcontrollers,,3.7,2,medium,0.73
R00175,Systems Software Engineer,Junior,Profiling;C;Linux;Concurrency;Rust,C++;Memory Management,,,3.8,2,medium,0.65
R00176,Frontend Engineer,Intern,HTML;React;Testing,JavaScript;Accessibility,TypeScript,Next.js;CSS,0.3,2,medium,0.55
R00177,DevOps Engineer,Junior,Docker;Linux;Python;Terraform;CI/CD,Kubernetes;AWS,,,3.4,1,medium,0.7
R00178,Site Reliability Engineer,Mid,Kubernetes;Python;Observability;Incident Response;Linux;Go,SLIs/SLOs,,,4.3,1,high,0.77
R00179,Full-Stack Engineer,Senior,Docker;SQL;React;Node.js;JavaScript;TypeScript;AWS,Python,,,7.1,2,high,0.78
R00180,Machine Learning Engineer,Mid,AWS;scikit-learn;MLflow;Python;PyTorch;Docker,TensorFlow,,,6.1,2,high,0.72
R00181,Systems Software Engineer,Mid,Concurrency;C++;C;Rust;Memory Management;Profiling,Linux,,,4.0,1,high,0.72
R00182,Systems Software Engineer,Senior,Memory Management;C;Profiling;Concurrency;Rust;C++;Linux,,,,10.9,1,high,0.81
R00183,Backend Software Engineer,Junior,Python;REST APIs;C++;CI/CD;Go,Java;PostgreSQL,AWS,Kubernetes;SQL,2.5,3,medium,0.66
R00184,Site Reliability Engineer,Senior,Observability;Python;Kubernetes;Linux;Go;SLIs/SLOs;Incident Response,,,,7.4,2,high,0.84
R00185,Data Engineer,New Grad,Kafka;AWS;Airflow;GCP,SQL;Spark,ETL,Python,2.1,4,medium,0.65
R00186,Embedded Software Engineer,Junior,Debugging;Microcontrollers;RTOS;C;C++,I2C;SPI,UART,,3.1,3,medium,0.7
R00187,Systems Software Engineer,Senior,C++;Profiling;Rust;Concurrency;Memory Management;Linux;C,,,,9.0,1,high,0.84
R00188,Machine Learning Engineer,New Grad,MLflow;Python;AWS;TensorFlow,scikit-learn;PyTorch,Docker,,2.2,2,medium,0.68
R00189,Embedded Software Engineer,Mid,RTOS;Microcontrollers;Debugging;I2C;C++;SPI,C;UART,,,4.3,1,high,0.78
R00190,Site Reliability Engineer,Intern,Go;Incident Response;Python,SLIs/SLOs;Linux,Kubernetes,Observability,1.3,5,medium,0.63
R00191,Frontend Engineer,Junior,React;Next.js;Testing;HTML;JavaScript,CSS;Accessibility,TypeScript,,3.9,3,medium,0.68
R00192,Embedded Software Engineer,New Grad,UART;I2C;RTOS;C,Debugging;Microcontrollers,SPI,C++,1.6,4,medium,0.62
R00193,Data Engineer,Mid,Airflow;Python;Spark;ETL;SQL;GCP,Kafka;AWS,,,5.3,2,high,0.79
R00194,Backend Software Engineer,Intern,SQL;AWS;CI/CD,Docker;PostgreSQL,REST APIs,C++;Kubernetes;Java,0.4,5,medium,0.59
R00195,Embedded Software Engineer,Junior,Microcontrollers;C;Debugging;RTOS;I2C,UART;C++,SPI,,2.0,1,medium,0.75
R00196,DevOps Engineer,New Grad,Docker;Terraform;CI/CD;Linux,Python;Kubernetes,AWS,,2.2,4,medium,0.64
R00197,Frontend Engineer,Mid,HTML;CSS;React;Testing;Next.js;Accessibility,JavaScript;TypeScript,,,5.5,1,high,0.78
R00198,Machine Learning Engineer,Junior,Python;Docker;MLflow;AWS;PyTorch,TensorFlow;scikit-learn,,,2.4,1,medium,0.65
R00199,Backend Software Engineer,New Grad,SQL;REST APIs;Java;Python,Kubernetes;Go,PostgreSQL,Docker;CI/CD,2.0,2,medium,0.68
R00200,Data Engineer,Senior,Spark;Kafka;SQL;Airflow;Python;AWS;GCP,ETL,,,11.5,2,high,0.75
R00201,Frontend Engineer,Intern,Accessibility;Testing;JavaScript,TypeScript;Next.js,React,HTML;CSS,0.8,5,medium,0.58
R00202,Backend Software Engineer,New Grad,Java;PostgreSQL;C++;Docker,AWS;REST APIs,Python,Go;CI/CD,1.1,4,medium,0.69
R00203,Backend Software Engineer,New Grad,C++;Python;Go;AWS,PostgreSQL;Java,Kubernetes,Docker;REST APIs,1.9,2,medium,0.66
R00204,DevOps Engineer,Senior,Kubernetes;Terraform;CI/CD;Python;AWS;Docker;Linux,,,,7.3,2,high,0.84
R00205,DevOps Engineer,Intern,Python;AWS;Docker,Terraform;Linux,Kubernetes,CI/CD,1.3,2,medium,0.59
R00206,Embedded Software Engineer,Intern,I2C;Microcontrollers;Debugging,C;UART,RTOS,SPI;C++,0.8,5,medium,0.59
R00207,DevOps Engineer,New Grad,Docker;Terraform;Linux;AWS,Python;CI/CD,Kubernetes,,1.4,2,medium,0.61
