resume_id,role,seniority,strong_skills,medium_skills,weak_skills,missing_skills,years_experience,projects_count,resume_quality,ats_score
R00035,Machine Learning Engineer,New Grad,Computer Vision;Deployment;MLflow;TensorFlow,FastAPI;Feature Engineering;PyTorch,Experiment Tracking,Model Serving;GCP,1.6,3,medium,0.57
R00036,Robotics Software Engineer Intern,Intern,Linux;CUDA;Docker,C++;OpenCV,Sensors,SLAM;Gazebo,1.6,5,medium,0.58
R00037,Firmware Engineer,New Grad,CI/CD;Debugging;Linux;RTOS,I2C;Firmware;Drivers,CAN Bus,SPI;Git,2.3,6,medium,0.54
R00038,Systems Software Engineer,Junior,Docker;Memory Management;System Design;perf;BPF/eBPF,C;C++;Profiling,CI/CD;Linux,Debugging,4.7,5,high,0.63
R00039,Backend Software Engineer,New Grad,MongoDB;Observability;Caching;Go,AWS;Python;Kubernetes,CI/CD,API Gateway;Git,0.9,5,medium,0.59
R00040,Frontend Engineer Intern,Intern,JavaScript;Vue;CSS;Jest,Playwright;CI/CD,Design Systems,React,0.5,3,high,0.61
R00041,Data Analyst Intern,Intern,dbt;BigQuery;Tableau,Pandas;Python,SQL,Git;Data Cleaning,0.9,2,medium,0.59
R00042,Systems Software Engineer,New Grad,C++;gdb;perf;Networking,Docker;CI/CD;Rust,BPF/eBPF,Debugging;Linux,2.2,3,medium,0.6
R00043,DevOps Engineer Intern,Intern,ArgoCD;Security;Kubernetes,Python;Terraform,Networking,AWS;Docker,1.4,2,medium,0.58
R00044,Full-Stack Engineer Intern,Intern,GraphQL;PostgreSQL;CI/CD,Docker;Git,TypeScript,Flask;Next.js,0.8,4,medium,0.48
R00045,Machine Learning Engineer Intern,Intern,GCP;scikit-learn;Deployment,Experiment Tracking;MLflow,TensorFlow,NLP;Model Evaluation,0.9,4,medium,0.63
R00046,Backend Software Engineer Intern,Intern,Testing;MongoDB;gRPC,REST APIs;Kubernetes,Microservices,Docker;System Design,0.7,4,medium,0.59
R00047,Data Analyst Intern,Intern,Git;ETL,Data Cleaning;Snowflake,dbt;BigQuery,A/B Testing;Dashboards;Tableau;Excel,0.8,3,low,0.42
R00048,Machine Learning Engineer,Junior,Docker;MLflow;FastAPI;Computer Vision;Feature Engineering,Model Evaluation;CI/CD;scikit-learn,AWS;NLP,Experiment Tracking;Deployment,1.7,5,medium,0.58
R00049,Robotics Software Engineer Intern,Intern,Docker;CUDA;Gazebo;Linux,Perception;Python,SLAM,Control Systems,0.8,5,high,0.63
R00050,Data Engineer Intern,Intern,Pipelines;SQL;Python,GCP;ETL,dbt,CI/CD;Data Quality,0.7,3,medium,0.61
R00051,Frontend Engineer,Mid,TypeScript;Accessibility;Tailwind;Next.js;React;HTML,Git;Vue;Design Systems;Webpack,CI/CD;Jest,Playwright;State Management;CSS,3.2,1,medium,0.61
R00052,Frontend Engineer Intern,Intern,Design Systems;Playwright;Web Performance;CI/CD;Vite,State Management;Jest,Git,Svelte,1.4,3,high,0.69
R00053,Frontend Engineer,Mid,Svelte;Vite;React;Playwright;JavaScript,Web Performance;State Management;Design Systems;Git,Testing;HTML;CI/CD,Webpack;Jest;Next.js;CSS,4.9,1,low,0.54
R00054,Frontend Engineer Intern,Intern,CI/CD;Next.js;Vite,Accessibility;Svelte,TypeScript,Jest;Tailwind,1.5,3,medium,0.54
R00055,Frontend Engineer Intern,Intern,Next.js;Design Systems,State Management;CI/CD,Accessibility;TypeScript,Web Performance;CSS;Vue;Tailwind,1.0,4,low,0.42
R00056,Backend Software Engineer,Mid,Terraform;AWS;Observability;Python;Testing;MongoDB,Linux;Go;MySQL;Docker,Java;C++,gRPC;Git;Message Queues,4.3,1,medium,0.59
R00057,DevOps Engineer Intern,Intern,ArgoCD;AWS;Ansible,Prometheus;Python,Kubernetes,Docker;Logging,0.7,4,medium,0.56
R00058,Security Analyst Intern,Intern,IAM;Linux;Vulnerability Scanning,AppSec Basics;Burp Suite,Cloud Security,OWASP;Threat Modeling,1.6,2,medium,0.54
R00059,Backend Software Engineer Intern,Intern,Docker;Microservices;Azure,AWS;Linux,MySQL,CI/CD;Terraform,0.5,3,medium,0.55
R00060,Machine Learning Engineer Intern,Intern,scikit-learn;Python;MLflow,Deployment;Model Evaluation,AWS,Feature Engineering;PyTorch,1.3,5,medium,0.55
R00061,Backend Software Engineer Intern,Intern,Auth;C++;CI/CD,PostgreSQL;AWS,gRPC,MongoDB;REST APIs,1.9,2,medium,0.61
R00062,DevOps Engineer Intern,Intern,Terraform;Ansible;Logging;Monitoring;Prometheus,Bash;Python,Networking,AWS,1.2,3,high,0.66
R00063,DevOps Engineer Intern,Intern,Logging;Prometheus;CI/CD,Grafana;Security,Bash,Terraform;AWS,1.0,2,medium,0.54
R00064,Full-Stack Engineer Intern,Intern,Docker;Auth;Django,REST APIs;CI/CD,Redis,System Design;Git,0.5,5,medium,0.56
R00065,Embedded Software Intern,Intern,SPI;Linux;C++,RTOS;Memory,Microcontrollers,Debugging;Oscilloscope,0.7,5,medium,0.51
R00066,Site Reliability Engineer,New Grad,Tracing;Grafana;Kubernetes;Observability,Prometheus;SLIs/SLOs;Python,Docker,CI/CD,1.7,3,high,0.66
R00067,Robotics Software Engineer Intern,Intern,Git;Gazebo;C++,Docker;ROS,Control Systems,Sensors;Perception,0.6,5,medium,0.61
R00068,Machine Learning Engineer,Mid,GCP;Model Evaluation;MLflow;Feature Engineering;Python;Deployment,Experiment Tracking;PyTorch;Computer Vision;CI/CD,FastAPI;NLP,AWS;scikit-learn;Model Serving,4.0,0,medium,0.6
R00069,DevOps Engineer Intern,Intern,Grafana;Logging;Networking,Docker;Kubernetes,Python,Ansible;ArgoCD,1.0,2,medium,0.54
R00070,Site Reliability Engineer,Junior,On-call;System Design;SLIs/SLOs;Go;Python,Grafana;Incident Response;CI/CD,Observability;Kubernetes,Chaos Engineering;Tracing,1.5,4,medium,0.53
R00071,Machine Learning Engineer,New Grad,MLflow;Model Serving;CI/CD;Feature Engineering,Python;AWS;Computer Vision,Model Evaluation,Docker;scikit-learn,1.0,6,medium,0.58
R00072,Security Analyst Intern,Intern,Threat Modeling;Cloud Security;SAST/DAST;SIEM,Vulnerability Scanning;OWASP,Python,Burp Suite,1.5,3,high,0.62
R00073,Backend Software Engineer,New Grad,REST APIs;gRPC;Git;Caching,PostgreSQL;MySQL;SQL,Go,MongoDB;Linux,0.5,2,medium,0.56
R00074,Application Security Engineer,Junior,Cloud Security;Threat Modeling;KMS;Secure SDLC;JavaScript,Burp Suite;Linux;OWASP,Python;Pen Testing,IAM;SAST/DAST,3.5,4,medium,0.65
R00075,Frontend Engineer Intern,Intern,Accessibility;Jest;Git;Testing,Next.js;CI/CD,Vite,State Management,1.4,5,high,0.65
R00076,Backend Software Engineer Intern,Intern,CI/CD;Go;Auth,Testing;gRPC,C++,SQL;Azure,1.2,3,medium,0.55
R00077,Full-Stack Engineer Intern,Intern,Flask;PostgreSQL,Node.js;Git,TypeScript;REST APIs,Next.js;System Design,2.0,2,low,0.48
R00078,DevOps Engineer Intern,Intern,Security;Logging;Terraform,CI/CD;Linux,Monitoring,Ansible;AWS,0.8,2,medium,0.5
R00079,Site Reliability Engineer,Mid,Python;CI/CD;Kubernetes;Docker;Tracing;Incident Response;Prometheus,SLIs/SLOs;Linux;Terraform;Observability,Chaos Engineering;Go,System Design;Grafana,6.0,4,high,0.71
R00080,Frontend Engineer Intern,Intern,Vue;JavaScript;Accessibility;Playwright,HTML;Testing,Webpack,Design Systems,0.4,3,high,0.64
R00081,Frontend Engineer,Junior,JavaScript;Svelte;Accessibility;TypeScript,CSS;Tailwind;State Management,Web Performance;CI/CD;Next.js,Testing;Vue;Playwright,4.1,2,low,0.49
R00082,Application Security Engineer,Junior,Threat Modeling;SAST/DAST;Burp Suite;Python;KMS,Cloud Security;API Security;CI/CD Security,JavaScript;Pen Testing,Secure SDLC;OWASP,2.7,5,medium,0.63
R00083,Site Reliability Engineer,New Grad,Grafana;On-call;SLIs/SLOs,Kubernetes;Incident Response;System Design,Go;CI/CD,Prometheus;Observability;Terraform,1.2,4,low,0.47
R00084,DevOps Engineer Intern,Intern,Grafana;Terraform;Prometheus,Python;AWS,Networking,Logging;CI/CD,0.9,5,medium,0.59
R00085,Machine Learning Engineer Intern,Intern,TensorFlow;AWS;PyTorch,scikit-learn;Experiment Tracking,MLflow,Feature Engineering;Deployment,1.4,2,medium,0.62
R00086,Robotics Software Engineer Intern,Intern,Control Systems;OpenCV,Simulation;C++,Git;Python,ROS;Gazebo;SLAM;Perception,1.4,2,low,0.45
R00087,Data Analyst Intern,Intern,Python;dbt,Pandas;Git,Statistics;A/B Testing,ETL;Dashboards;Tableau,0.1,4,low,0.46
R00088,Machine Learning Engineer Intern,Intern,Python;TensorFlow,FastAPI;Feature Engineering,Experiment Tracking;PyTorch,Model Evaluation;MLflow;Weights & Biases,0.8,4,low,0.51
R00089,Backend Software Engineer Intern,Intern,PostgreSQL;Microservices,gRPC;Testing,System Design;Python,GCP;AWS;MongoDB,0.5,5,low,0.45
R00090,Full-Stack Engineer,Junior,Redis;Git;System Design;Spring Boot,Next.js;Java;Node.js,SQL;CI/CD;GraphQL,Django;Auth;Testing;PostgreSQL,3.3,4,low,0.5
R00091,Backend Software Engineer,New Grad,Observability;MongoDB;REST APIs;gRPC;C++,Python;CI/CD;Docker,Testing,Terraform,1.8,3,high,0.67
R00092,Systems Software Engineer,Junior,Memory Management;CI/CD;gdb;C,Debugging;C++;System Design,perf;Concurrency;Docker,Networking;Linux,1.3,3,low,0.47
R00093,Systems Software Engineer,Junior,Rust;perf;System Design;Profiling;Concurrency,C++;BPF/eBPF;Docker,CI/CD;Debugging,Networking;Linux,2.6,3,medium,0.59
R00094,Frontend Engineer Intern,Intern,Svelte;React;Webpack,Vue;Accessibility,TypeScript,Next.js;Jest,0.8,4,medium,0.59
R00095,Firmware Engineer,Junior,UART;I2C;SPI;CAN Bus;Logic Analyzer;Memory Management,C++;Microcontrollers;Bootloaders,RTOS;C,Firmware,2.8,2,high,0.65
R00096,Embedded Software Intern,Intern,Logic Analyzer;Interrupts;Firmware;Git;C,UART;Drivers,Oscilloscope,Memory,0.7,2,high,0.65
R00097,Site Reliability Engineer,Junior,Chaos Engineering;On-call;SLIs/SLOs;Grafana,Tracing;Linux;Incident Response,Docker;Observability;Kubernetes,CI/CD;System Design;Prometheus;Terraform,2.7,1,low,0.47
R00098,Site Reliability Engineer,New Grad,Python;Docker;Prometheus;Incident Response;Grafana,Terraform;Tracing;Kubernetes,CI/CD,On-call,0.9,6,high,0.7
R00099,Machine Learning Engineer,New Grad,Docker;scikit-learn;Experiment Tracking;CI/CD,Computer Vision;Model Evaluation;GCP,Python,AWS,1.3,4,high,0.65
R00100,Embedded Software Intern,Intern,SPI;Microcontrollers,Drivers;Memory,Debugging;I2C,Unit Testing;Logic Analyzer;Oscilloscope;UART,0.4,4,low,0.4
R00101,DevOps Engineer Intern,Intern,Networking;Grafana;Kubernetes,Docker;Security,Ansible,ArgoCD;Prometheus,1.2,3,medium,0.57
R00102,Machine Learning Engineer,Junior,Docker;Feature Engineering;Model Serving;NLP,TensorFlow;CI/CD;FastAPI,Python;AWS;PyTorch,MLflow;Model Evaluation,2.7,5,low,0.43
R00103,Firmware Engineer,Junior,CI/CD;Debugging;Drivers;CAN Bus,Linux;Firmware;RTOS,Microcontrollers;C;I2C,Memory Management;Git;UART,1.8,4,low,0.49
R00104,Application Security Engineer,Junior,Python;Burp Suite;SAST/DAST;Secure SDLC;IAM;JavaScript,Pen Testing;OWASP;Threat Modeling,KMS;Cloud Security,Code Review,3.2,2,high,0.62
R00105,Site Reliability Engineer,Mid,Prometheus;Chaos Engineering;Linux;CI/CD;Terraform,SLIs/SLOs;System Design;Incident Response;Kubernetes,Docker;Grafana;On-call,Go;Python;Tracing;Observability,2.0,1,low,0.52
R00106,Embedded Software Intern,Intern,Linux;Logic Analyzer;C;Git,Microcontrollers;C++,Firmware,Debugging,1.1,5,high,0.67
R00107,Full-Stack Engineer Intern,Intern,SQL;Flask;GraphQL,React;TypeScript,AWS,Auth;Next.js,0.8,2,medium,0.53
R00108,Site Reliability Engineer,New Grad,Kubernetes;Tracing;CI/CD;Linux;On-call,SLIs/SLOs;Observability;System Design,Terraform,Prometheus,0.7,6,high,0.67
R00109,Application Security Engineer,Mid,Code Review;CI/CD Security;SAST/DAST;Python;Burp Suite,API Security;IAM;Secure SDLC;Cloud Security,KMS;OWASP;Linux,Threat Modeling;JavaScript;Pen Testing,3.1,4,low,0.49
R00110,Embedded Software Intern,Intern,Linux;I2C,SPI;C++,RTOS;UART,Interrupts;CAN Bus;Unit Testing;Git,0.7,3,low,0.48
R00111,Backend Software Engineer,Junior,MongoDB;Java;Kubernetes;MySQL;REST APIs;Microservices;Observability,Message Queues;Caching;SQL,PostgreSQL;Testing,gRPC,2.2,4,high,0.7
R00112,Site Reliability Engineer,Mid,Prometheus;Chaos Engineering;Grafana;SLIs/SLOs;Kubernetes;Python,On-call;Go;Tracing;CI/CD,Incident Response;Observability,System Design;Docker;Terraform,5.9,3,medium,0.59
R00113,Frontend Engineer Intern,Intern,Svelte;Design Systems;Testing,Vite;TypeScript,React,Playwright;Web Performance,0.8,5,medium,0.59
R00114,DevOps Engineer Intern,Intern,Grafana;AWS;Monitoring,Security;Ansible,Bash,Kubernetes;Prometheus,1.9,2,medium,0.55
R00115,Full-Stack Engineer Intern,Intern,Flask;Testing;Redis,Docker;TypeScript,React,AWS,0.7,3,high,0.61
R00116,Site Reliability Engineer,Mid,Prometheus;CI/CD;Observability;System Design;Kubernetes;Docker,Python;Linux;Go;Incident Response,SLIs/SLOs;Tracing,Grafana;Terraform;Chaos Engineering,4.6,4,medium,0.56
R00117,Site Reliability Engineer,New Grad,Docker;Go;Terraform;Python,System Design;Observability;Tracing,Grafana,CI/CD;Kubernetes,0.6,3,medium,0.48
R00118,Embedded Software Intern,Intern,Interrupts;I2C;Git,Logic Analyzer;UART,Microcontrollers,Unit Testing;Oscilloscope,0.8,4,medium,0.53
R00119,Data Analyst Intern,Intern,Data Cleaning;dbt;Dashboards;Tableau,BigQuery;Python,ETL,Statistics,0.9,4,high,0.69
R00120,Systems Software Engineer,Mid,C++;Rust;Concurrency;BPF/eBPF;Docker;Profiling,perf;System Design;Linux;Debugging,C;CI/CD,gdb;Memory Management;Networking,2.5,4,medium,0.59
R00121,Frontend Engineer,Junior,Testing;Webpack;Web Performance;React;Accessibility,Vue;Design Systems;Git,Playwright;Vite,CSS;Svelte,3.6,2,medium,0.65
R00122,Robotics Software Engineer Intern,Intern,OpenCV;CUDA,Git;Docker,ROS;Gazebo,Linux;Perception;Sensors,0.6,3,low,0.43
R00123,Machine Learning Engineer Intern,Intern,FastAPI;GCP;MLflow,Experiment Tracking;Feature Engineering,Python,Model Evaluation;PyTorch,0.9,2,medium,0.53
R00124,Data Engineer Intern,Intern,dbt;Terraform;ETL,Data Quality;BigQuery,CI/CD,Pipelines,0.8,2,high,0.62
R00125,Full-Stack Engineer Intern,Intern,System Design;Node.js;Testing,GraphQL;React,Redis,AWS;Auth,0.8,4,medium,0.51
R00126,Frontend Engineer,New Grad,CSS;Svelte;State Management,CI/CD;Accessibility;Tailwind,Webpack;Web Performance,Next.js;React;Vue;Vite,1.8,5,low,0.49
R00127,Security Analyst Intern,Intern,SIEM;Vulnerability Scanning,Python;SAST/DAST,IAM;Networking,OWASP;AppSec Basics;CI/CD Security,1.3,3,low,0.45
R00128,Robotics Software Engineer Intern,Intern,Linux;SLAM,Control Systems;C++,ROS;Gazebo,Simulation;Perception;OpenCV,1.1,4,low,0.47
R00129,Firmware Engineer,Junior,SPI;RTOS;CAN Bus;I2C,Git;Firmware;Bootloaders,Drivers;Linux;CI/CD,Microcontrollers;UART,1.0,3,low,0.48
R00130,Systems Software Engineer,Junior,Rust;System Design;Debugging;Docker,Memory Management;perf;CI/CD,Profiling;Linux;Networking,Concurrency;gdb;BPF/eBPF;C++,3.0,4,low,0.51
R00131,Machine Learning Engineer,Junior,Python;FastAPI;Feature Engineering;Docker,CI/CD;Deployment;GCP,NLP;MLflow;PyTorch,Model Evaluation;Model Serving;TensorFlow,2.3,4,low,0.5
R00132,Systems Software Engineer,New Grad,Linux;C;Profiling;Concurrency,BPF/eBPF;Networking;Docker,Memory Management,Debugging;System Design,2.8,2,medium,0.59
R00133,Backend Software Engineer,Junior,API Gateway;System Design;gRPC;PostgreSQL;Auth,Linux;Caching;Testing,MySQL;Microservices,SQL;REST APIs,1.0,4,medium,0.55
R00134,Data Analyst Intern,Intern,ETL;Power BI;Snowflake;dbt,Dashboards;Statistics,SQL,Data Cleaning,0.8,4,high,0.68
R00135,Robotics Software Engineer Intern,Intern,SLAM;Control Systems;ROS;Perception;C++,CUDA;Sensors,Docker,Git,1.0,2,high,0.64
R00136,Machine Learning Engineer Intern,Intern,Experiment Tracking;TensorFlow;PyTorch,Deployment;GCP,scikit-learn,AWS;Computer Vision,1.1,4,medium,0.62
R00137,Backend Software Engineer,Junior,gRPC;Linux;Message Queues;C++;Terraform,PostgreSQL;Python;Kubernetes,Testing;MySQL,API Gateway;System Design,2.3,4,medium,0.58
R00138,Security Analyst Intern,Intern,Cloud Security;Python;Linux,SAST/DAST;Vulnerability Scanning,Burp Suite,CI/CD Security;IAM,0.9,4,medium,0.54
R00139,Full-Stack Engineer,Mid,TypeScript;JavaScript;REST APIs;Java;SQL,Git;Testing;Docker;System Design,Next.js;Node.js;PostgreSQL,Spring Boot;Redis;AWS;CI/CD,5.6,1,low,0.45
R00140,Embedded Software Intern,Intern,Memory;Interrupts,UART;Microcontrollers,RTOS;SPI,Debugging;I2C,0.6,3,low,0.46
R00141,Application Security Engineer,New Grad,Secure SDLC;OWASP;Python;Threat Modeling,Burp Suite;SAST/DAST;KMS,IAM,Pen Testing;API Security,2.8,5,medium,0.63
R00142,Backend Software Engineer Intern,Intern,Auth;REST APIs;PostgreSQL,API Gateway;Git,MongoDB,gRPC;System Design,0.7,2,medium,0.58
R00143,Frontend Engineer,Junior,Vue;Design Systems;Testing;CI/CD;Tailwind;Git;Accessibility,Playwright;Vite;Next.js,CSS;Jest,React,2.1,2,high,0.69
R00144,Site Reliability Engineer,Junior,CI/CD;On-call;SLIs/SLOs;Go;Grafana,Incident Response;Terraform;Prometheus,Tracing;Observability,System Design;Docker,2.9,5,medium,0.58
R00145,Security Analyst Intern,Intern,Burp Suite;AppSec Basics,SIEM;CI/CD Security,Cloud Security;Python,Networking;IAM;SAST/DAST,0.2,5,low,0.45
R00146,Systems Software Engineer,New Grad,gdb;C++;Debugging,C;Rust;System Design,BPF/eBPF;Memory Management,Profiling;CI/CD;Networking,1.4,5,low,0.49
R00147,DevOps Engineer Intern,Intern,Grafana;Python;Networking,ArgoCD;Logging,Security,CI/CD;Prometheus,1.2,5,medium,0.54
R00148,Full-Stack Engineer,Mid,JavaScript;REST APIs;Git;AWS;System Design;Testing,Redis;React;GraphQL;Spring Boot,Node.js;PostgreSQL,SQL;CI/CD;Docker,6.8,0,medium,0.66
R00149,Backend Software Engineer,Junior,Redis;MySQL;Go;C++;CI/CD,Java;AWS;Testing,gRPC;Kubernetes,Microservices;System Design,2.7,1,medium,0.53
R00150,Data Engineer Intern,Intern,BigQuery;Data Quality;Spark,Snowflake;CI/CD,dbt,Data Modeling;Kafka,0.9,3,medium,0.51
R00151,Data Engineer Intern,Intern,CI/CD;Data Quality;Kafka,Python;AWS,Spark,Terraform;Data Modeling,1.3,3,medium,0.6
R00152,Robotics Software Engineer Intern,Intern,Linux;Gazebo;Control Systems,Simulation;Git,Docker,SLAM;ROS,1.8,5,medium,0.55
R00153,Full-Stack Engineer,Junior,Git;TypeScript;AWS;System Design;PostgreSQL,Node.js;Django;React,REST APIs;GraphQL,Testing;Spring Boot,2.9,2,medium,0.57
R00154,Frontend Engineer Intern,Intern,Accessibility;Git;TypeScript,Next.js;CSS,Vue,Svelte,1.0,3,high,0.63
R00155,Robotics Software Engineer Intern,Intern,Sensors;Git,Linux;Python,ROS;Docker,Simulation;SLAM,1.1,4,low,0.52
R00156,Data Analyst Intern,Intern,Statistics;Data Cleaning;Dashboards,BigQuery;Pandas,A/B Testing,dbt;Excel,0.9,4,medium,0.59
R00157,Application Security Engineer,Mid,Pen Testing;OWASP;Secure SDLC;Cloud Security;Code Review;Python,SAST/DAST;Threat Modeling;JavaScript;KMS,Linux;API Security,CI/CD Security;Burp Suite;IAM,5.1,2,medium,0.55
R00158,Embedded Software Intern,Intern,Linux;Unit Testing,Logic Analyzer;Microcontrollers,UART;C,Interrupts;Git;SPI,0.6,4,low,0.45
R00159,Robotics Software Engineer Intern,Intern,Gazebo;C++;Python,Git;ROS,CUDA,Sensors;Docker,1.3,2,medium,0.54
R00160,Data Engineer Intern,Intern,SQL;Snowflake,GCP;Pipelines,AWS;Python,Spark;dbt;Data Quality,1.1,5,low,0.47
R00161,Backend Software Engineer Intern,Intern,Docker;Terraform,Linux;Caching,Git;CI/CD,Kubernetes;System Design,0.8,4,low,0.42
R00162,Full-Stack Engineer Intern,Intern,System Design;Python,Git;Docker,JavaScript;React,Redis;Django;Flask,0.7,4,low,0.44
R00163,Machine Learning Engineer,Junior,Deployment;CI/CD;NLP;Experiment Tracking;Computer Vision,Python;GCP;FastAPI,AWS;MLflow,Model Serving,1.5,1,high,0.62
R00164,DevOps Engineer Intern,Intern,Python;Docker;Ansible,ArgoCD;Prometheus,AWS,Logging;Grafana,0.4,2,medium,0.63
R00165,Frontend Engineer Intern,Intern,Svelte;State Management;JavaScript,Accessibility;HTML,Next.js,React;Jest,0.8,2,medium,0.6
R00166,Frontend Engineer Intern,Intern,Vite;State Management;Git,Vue;React,Accessibility,Svelte;Playwright,0.4,5,medium,0.55
R00167,Backend Software Engineer,New Grad,Observability;gRPC;Python,Linux;REST APIs;API Gateway,Redis;Microservices,Git;Caching;Testing;PostgreSQL,2.1,6,low,0.49
R00168,Full-Stack Engineer,Junior,Python;GraphQL;Spring Boot;React;Testing,Next.js;Docker;REST APIs,SQL;Java,CI/CD;Django,3.6,2,medium,0.61
