job_id,job_title,domain,employment_type,seniority,experience_required,company_type,location,job_description,skills
717635d8-a435-451c-bfea-b777b53b4dbc,Software Engineer – Full Stack,Full Stack,Internship,Intern,0 years,AI-first startup,"San Francisco, CA","We are a AI-first startup seeking a Software Engineer – Full Stack (Intern) to join our team. You will implement
authentication and authorization flows, deploy and monitor production systems, and own features end-to-end from UI to
database. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at scale.","SQL, APIs, Node.js, React"
ea88face-7402-4ed2-bbe2-11cbdc6b3483,Platform Engineer,DevOps,Full-time,Junior,3-5 years,fintech company,"Boston, MA","We are a fintech company seeking a Platform Engineer (Junior) to join our team. You will respond to incidents and
perform root-cause analysis, build and maintain CI/CD pipelines, and manage cloud infrastructure and deployments. This
role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","Docker, AWS, CI/CD, Monitoring, Kubernetes"
348e8ff0-2f2b-412f-a806-d2cb572c9c3f,Software Engineer – Full Stack,Full Stack,Full-time,Junior,0-1 years,AI-first startup,"Seattle, WA","We are a AI-first startup seeking a Software Engineer – Full Stack (Junior) to join our team. You will implement
authentication and authorization flows, own features end-to-end from UI to database, and deploy and monitor production
systems. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","SQL, Authentication, Flask, APIs, Node.js, Django"
2abeceb2-b10b-4e5e-9c47-9e323c73fec3,Software Engineer – Full Stack,Full Stack,Full-time,Junior,3-5 years,healthtech company,"Boston, MA","We are a healthtech company seeking a Software Engineer – Full Stack (Junior) to join our team. You will implement
authentication and authorization flows, design APIs and integrate frontend with backend services, and deploy and monitor
production systems. This role is based in Boston, MA and offers opportunities to work on real-world systems at scale.","Django, React, Flask, Authentication, APIs, Node.js, SQL"
030a9153-6421-4b76-af62-7c72ad4a6d57,Software Engineer – Full Stack,Full Stack,Full-time,Mid-Level,0-1 years,FAANG-scale tech company,"San Francisco, CA","We are a FAANG-scale tech company seeking a Software Engineer – Full Stack (Mid-Level) to join our team. You will own
features end-to-end from UI to database, deploy and monitor production systems, and design APIs and integrate frontend
with backend services. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at
scale.","Flask, SQL, Node.js, Authentication, Django, APIs, React"
06589c80-651e-4795-9d55-1d8af32cd46a,UI Engineer,Frontend,Full-time,Junior,3-5 years,healthtech company,"New York, NY","We are a healthtech company seeking a UI Engineer (Junior) to join our team. You will optimize frontend performance and
bundle sizes, translate design mockups into production-ready code, and collaborate closely with designers and product
managers. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","CSS, Next.js, Web Performance, HTML, React, TypeScript, Accessibility"
7334dd68-ff1f-4a57-be24-c0df296fa289,Frontend Engineer,Frontend,Full-time,Junior,0-1 years,AI-first startup,"Seattle, WA","We are a AI-first startup seeking a Frontend Engineer (Junior) to join our team. You will optimize frontend performance
and bundle sizes, build responsive and accessible user interfaces, and collaborate closely with designers and product
managers. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","Next.js, TypeScript, CSS, Web Performance, React"
7897e84b-608f-465e-b4c2-9284f87e3aeb,Full Stack Engineer,Full Stack,Internship,Intern,0 years,fast-growing startup,"New York, NY","We are a fast-growing startup seeking a Full Stack Engineer (Intern) to join our team. You will own features end-to-end
from UI to database, deploy and monitor production systems, and design APIs and integrate frontend with backend
services. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","APIs, SQL, Node.js, Django"
0188582b-ab8f-463b-8917-657f1766d040,Embedded Software Engineer,Embedded,Internship,Intern,0 years,FAANG-scale tech company,Hybrid,"We are a FAANG-scale tech company seeking a Embedded Software Engineer (Intern) to join our team. You will optimize code
for memory and performance constraints, interface directly with hardware components, and develop firmware for embedded
devices. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","SPI, RTOS, Microcontrollers, UART"
ba49d873-6af6-4578-9fe0-73ba80ba9994,API Engineer,Backend,Internship,Intern,0 years,FAANG-scale tech company,Hybrid,"We are a FAANG-scale tech company seeking a API Engineer (Intern) to join our team. You will design and build scalable
backend services, collaborate with frontend and infrastructure teams, and optimize database queries and system
performance. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","NoSQL, Redis, Python, gRPC"
790ea9ae-d50e-422a-86f0-aa408020b46b,Platform Engineer,DevOps,Internship,Intern,0 years,FAANG-scale tech company,"San Francisco, CA","We are a FAANG-scale tech company seeking a Platform Engineer (Intern) to join our team. You will respond to incidents
and perform root-cause analysis, manage cloud infrastructure and deployments, and improve system reliability and
observability. This role is based in San Francisco, CA and offers opportunities to work on real-world systems at scale.","AWS, Terraform, Kubernetes, CI/CD"
ddfcded9-212e-43d6-8cfe-2250bd0edd3a,Software Engineer – Full Stack,Full Stack,Internship,Intern,0 years,healthtech company,"Seattle, WA","We are a healthtech company seeking a Software Engineer – Full Stack (Intern) to join our team. You will design APIs and
integrate frontend with backend services, deploy and monitor production systems, and own features end-to-end from UI to
database. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","SQL, APIs, React, Node.js"
568e0ac7-b7e0-40dd-a3c6-73a5c59888f6,Frontend Engineer,Frontend,Full-time,Mid-Level,0-1 years,fast-growing startup,Remote,"We are a fast-growing startup seeking a Frontend Engineer (Mid-Level) to join our team. You will optimize frontend
performance and bundle sizes, collaborate closely with designers and product managers, and translate design mockups into
production-ready code. This role is based in Remote and offers opportunities to work on real-world systems at scale.","Web Performance, CSS, HTML, Next.js, React, JavaScript, Accessibility"
ac11e002-991a-401d-91e9-a21b2eb5dc6c,Firmware Engineer,Embedded,Full-time,Mid-Level,0-1 years,enterprise SaaS company,Hybrid,"We are a enterprise SaaS company seeking a Firmware Engineer (Mid-Level) to join our team. You will interface directly
with hardware components, optimize code for memory and performance constraints, and develop firmware for embedded
devices. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Microcontrollers, C, SPI, C++, RTOS"
2a719ce5-73e3-4189-9837-0c8a3e21b487,Backend Engineer,Backend,Full-time,Junior,3-5 years,AI-first startup,Hybrid,"We are a AI-first startup seeking a Backend Engineer (Junior) to join our team. You will optimize database queries and
system performance, collaborate with frontend and infrastructure teams, and develop and maintain APIs used by millions
of users. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Redis, Java, REST, SQL, Go, NoSQL"
e0a528b9-9d5b-429c-88d9-9b6e87bd2225,Data Analyst,Data,Full-time,Junior,3-5 years,enterprise SaaS company,"Seattle, WA","We are a enterprise SaaS company seeking a Data Analyst (Junior) to join our team. You will define metrics and KPIs to
guide business decisions, work with engineering teams to improve data quality, and analyze large datasets to extract
actionable insights. This role is based in Seattle, WA and offers opportunities to work on real-world systems at scale.","SQL, A/B Testing, Python, Statistics, Power BI"
33a7d4d6-b978-4f0b-b76a-dca6c37c8c0c,DevOps Engineer,DevOps,Internship,Intern,0 years,healthtech company,"Boston, MA","We are a healthtech company seeking a DevOps Engineer (Intern) to join our team. You will build and maintain CI/CD
pipelines, manage cloud infrastructure and deployments, and improve system reliability and observability. This role is
based in Boston, MA and offers opportunities to work on real-world systems at scale.","CI/CD, Kubernetes, Terraform, Monitoring, AWS"
d254ed81-f07e-4815-9405-cc78da6958f5,Business Intelligence Engineer,Data,Internship,Intern,0 years,AI-first startup,Remote,"We are a AI-first startup seeking a Business Intelligence Engineer (Intern) to join our team. You will work with
engineering teams to improve data quality, define metrics and KPIs to guide business decisions, and analyze large
datasets to extract actionable insights. This role is based in Remote and offers opportunities to work on real-world
systems at scale.","Statistics, Tableau, Power BI, Python"
54a09459-d94e-4f9c-9506-0876509b54d9,Data Analyst,Data,Internship,Intern,0 years,enterprise SaaS company,"New York, NY","We are a enterprise SaaS company seeking a Data Analyst (Intern) to join our team. You will work with engineering teams
to improve data quality, build dashboards and reports for stakeholders, and analyze large datasets to extract actionable
insights. This role is based in New York, NY and offers opportunities to work on real-world systems at scale.","Tableau, Power BI, SQL, Statistics"
3447a650-251b-4905-8aad-24c9182ccc10,Web Engineer,Frontend,Internship,Intern,0 years,healthtech company,Hybrid,"We are a healthtech company seeking a Web Engineer (Intern) to join our team. You will optimize frontend performance and
bundle sizes, translate design mockups into production-ready code, and collaborate closely with designers and product
managers. This role is based in Hybrid and offers opportunities to work on real-world systems at scale.","Web Performance, Accessibility, JavaScript, TypeScript, React, Next.js, CSS"
